VendorID,trip_distance,fare_amount,total_amount
2,15400.32,28.9,39.48
2,10879.28,70.0,98.88
2,1715.22,70.0,98.88
1,971.8,21.5,23.0
1,964.6,39.5,41.0
2,277.4,33.8,39.55
2,246.22,8.6,18.12
2,233.25,1616.5,1617.5
2,210.82,500.0,515.88
1,210.2,650.0,689.68
2,207.68,13.5,21.0
2,176.43,35.9,52.63
2,157.25,899.0,900.0
2,155.56,450.0,494.38
1,153.2,550.4,573.97
2,142.62,912.3,940.93
2,135.82,220.0,281.83
2,122.47,749.2,758.89
2,120.86,457.0,473.38
2,120.78,325.0,400.22
2,120.76,744.3,753.74
2,119.46,739.4,771.41
2,118.99,260.0,261.0
2,116.4,389.4,392.65
2,115.75,400.0,409.69
2,111.77,400.0,402.85
2,111.57,678.5,696.0
2,111.4,350.0,352.75
2,110.46,669.4,709.21
2,109.75,761.1,775.48
2,108.6,380.0,420.0
2,106.57,366.0,433.61
2,105.25,500.0,516.13
2,101.28,359.3,364.3
1,101.1,450.0,551.59
2,99.0,591.7,623.71
2,97.91,585.4,606.03
1,97.5,353.7,450.2
2,97.22,586.1,610.67
2,97.12,620.4,630.09
2,94.52,595.2,606.39
2,94.47,637.9,648.59
2,94.0,341.1,343.1
2,93.2,100.0,114.38
2,92.34,607.8,637.87
2,91.73,569.3,584.18
1,89.8,320.1,352.73
2,89.16,227.7,242.45
1,88.4,380.0,381.0
2,87.95,530.8,560.18
2,87.39,493.0,523.01
2,86.65,350.0,434.88
1,85.8,316.0,339.57
2,85.47,258.0,284.79
2,85.34,308.9,382.56
2,84.39,495.1,521.79
2,84.19,539.2,548.89
2,83.92,487.4,519.41
2,83.37,300.0,394.91
2,82.74,300.0,349.99
2,82.72,509.8,519.99
2,82.65,536.4,551.09
2,80.85,399.0,400.0
2,80.43,165.0,221.4
1,80.2,250.0,292.07
2,80.0,300.0,318.25
1,79.8,283.7,353.89
1,79.5,300.0,302.75
2,79.13,423.0,425.75
2,77.99,450.0,486.45
2,77.42,503.5,518.19
2,77.26,442.6,486.1
2,76.77,450.0,500.25
2,76.76,315.0,395.86
2,76.22,425.8,457.81
2,75.85,428.6,490.61
2,75.76,70.0,78.25
2,74.98,442.6,467.29
2,74.42,267.6,284.23
2,74.35,350.0,421.2
2,73.99,474.8,490.74
2,73.39,250.0,257.94
2,73.32,439.1,464.67
2,72.82,480.4,509.47
2,72.1,416.7,431.39
2,71.96,249.0,250.5
2,71.93,409.0,425.19
2,71.27,275.7,299.77
2,71.23,395.0,396.0
2,71.21,395.0,425.38
2,71.18,9.3,15.8
2,70.83,200.0,201.0
2,70.21,200.0,240.01
2,69.98,398.5,445.51
2,69.36,300.0,302.75
2,69.11,459.4,476.93
1,69.1,413.2,423.39
2,69.03,210.0,226.38
2,68.93,485.0,486.0
1,68.8,505.0,512.94
2,68.51,70.0,95.94
2,68.48,70.0,73.25
2,68.46,343.2,389.33
2,68.44,350.0,433.34
2,68.43,350.0,381.38
2,68.41,300.0,329.38
2,68.38,394.0,441.01
2,68.35,280.0,286.5
2,68.28,351.6,374.04
2,67.95,272.9,297.97
2,67.88,249.4,321.28
2,67.84,404.1,426.54
2,67.61,410.4,420.09
2,67.32,350.0,369.69
2,67.24,433.5,462.57
2,67.16,343.9,439.91
2,67.15,182.0,183.0
2,66.9,388.0,435.39
2,66.87,367.0,476.06
2,66.85,401.3,426.74
2,66.85,241.7,333.27
2,66.8,446.1,459.35
2,66.42,398.5,408.19
2,66.0,392.2,445.64
2,65.98,395.0,449.07
2,65.49,392.9,425.59
2,65.4,337.0,380.01
2,64.95,327.8,398.31
2,64.82,270.0,320.01
2,64.7,353.7,404.08
1,64.7,450.0,452.75
2,64.67,404.1,497.47
2,64.29,413.2,422.45
2,64.18,386.6,406.29
2,64.16,280.0,301.5
1,64.1,0.01,27.77
2,64.05,227.0,250.44
2,64.01,231.9,252.53
1,63.9,248.4,297.79
2,63.71,393.6,489.6
1,63.7,228.4,265.91
2,63.57,378.9,467.76
